item,parent,label,original_point_cloud_count,minimal_bounding_box_volume,mesh_volume,date_created,user
root,
Stones,root
GuberNaturSteine,Stones
90bd3789-4767-4347-951a-ae95b084639a,BatchA5,,29551,0.00087831370833275977,0.00054777679171910882,2021-09-03T19:34:34Z,broyet
e26336aa-cc78-48be-9776-46b86e1dca30,BatchA5,,18167,0.00076604376045259141,0.00042398676334816111,2021-09-03T19:34:37Z,broyet
8fe767a1-f99d-4c16-9790-b20d312ff000,BatchA5,,21287,0.00088282638610917086,0.00043676503222255084,2021-09-03T19:34:40Z,broyet
3504fc91-2f68-4f98-9ff2-0de142f89942,BatchA5,,24337,0.001137497568137888,0.00058214641932274587,2021-09-03T19:34:44Z,broyet
26c21010-3e5f-4e3f-9d1d-f2c5561b316f,BatchA5,,17705,0.001310003365441028,0.00050630517587290714,2021-09-03T19:34:46Z,broyet
d5ddde03-53d4-452e-8043-8aa729151dc3,BatchA5,,28787,0.0012965977598110921,0.00078098502708368652,2021-09-03T19:34:51Z,broyet
e0dbde0b-9c0f-4b29-bc30-186462be013b,BatchA5,,18583,0.00093647745640400054,0.00038720233633398856,2021-09-03T19:34:54Z,broyet
bad79333-8a1e-4bfc-a210-968d2b64a179,BatchA5,,57667,0.0037808337585541574,0.0018212517021866145,2021-09-03T19:35:00Z,broyet
e564809b-a8d0-4b34-bf74-24a6ea49007a,BatchA5,,32725,0.0011074239649912151,0.00053448199813873178,2021-09-03T19:35:05Z,broyet
8bf89da9-87db-4d33-892f-239d0e0ffbad,BatchA5,,28596,0.00074775882469690935,0.00037632413482040808,2021-09-03T19:35:09Z,broyet
4e487eaa-166b-4c71-a8d0-b74f98645daf,BatchA5,,70671,0.0017170310294757009,0.00095889951792525123,2021-09-03T19:35:17Z,broyet
367e6dab-e795-43f6-b2e9-16934e2bed13,BatchA5,,51555,0.0024896498421739716,0.0010249548739086013,2021-09-03T19:35:23Z,broyet
219076a9-eb2c-4937-b940-7c930cec1d10,BatchA5,,23061,0.00090952767196284933,0.00041685561326829627,2021-09-03T19:35:27Z,broyet
5f3e0ec5-26dc-4f7b-b054-26f7a4766441,BatchA5,,77060,0.0031053504363839253,0.0015645807241093095,2021-09-03T19:35:35Z,broyet
BatchA3,GuberNaturSteine
813b0dec-f81f-4225-9000-00c542b4138c,BatchA3,,190227,0.0097963292296859555,0.0044177403830167094,2021-09-03T19:05:27Z,broyet
841f6afd-daab-4d23-9017-0fd09434bc73,BatchA3,,46784,0.0019969601857755225,-0.00081802704853109161,2021-09-03T19:05:32Z,broyet
532fb195-6700-4061-a401-5cc037971e66,BatchA3,,69059,0.0035542851649766325,0.0019340574391504542,2021-09-03T19:05:40Z,broyet
f5801f3b-b873-404d-a4b1-37438d491463,BatchA3,,146639,0.0093100104498256165,0.0038315659275509686,2021-09-03T19:06:00Z,broyet
6f781fe2-7d16-4de9-99e4-6f21e44dd032,BatchA3,,33263,0.0021378698076389459,0.001128286470339286,2021-09-03T19:06:05Z,broyet
79349738-bb44-4970-8e33-8f9a13a3fe71,BatchA3,,103770,0.0043727426850042597,0.0021069862324207145,2021-09-03T19:06:17Z,broyet
2e16b7f1-93cc-4c55-8339-8570f2758283,BatchA3,,132170,0.0058639264310722675,-0.0027147409900569173,2021-09-03T19:06:39Z,broyet
80454550-8e2c-4e3a-bd45-2127025c6176,BatchA3,,70447,0.0040737792128784627,0.0011237017147555926,2021-09-03T19:06:49Z,broyet
